reserve,impressions,demand_factor,WE,WF,revenue_mean
46,2000,0.5,0,8,25.908132024002
47,2000,0.5,0,8,25.290210287725113
48,2000,0.5,0,8,25.009196590452596
49,2000,0.5,0,8,25.03854677496484
50,2000,0.5,0,8,25.29243348315267
51,2000,0.5,0,8,24.771942200816603
52,2000,0.5,0,8,25.04025918290289
53,2000,0.5,0,8,25.325557450991806
54,2000,0.5,0,8,25.227378945287164
55,2000,0.5,0,8,25.247559497551546
56,2000,0.5,0,8,24.643459342124466
57,2000,0.5,0,8,24.829794341497177
58,2000,0.5,0,8,24.562364310151324
59,2000,0.5,0,8,24.832994640568646
60,2000,0.5,0,8,24.78840743529702
61,2000,0.5,0,8,25.426369819997806
62,2000,0.5,0,8,24.93103630129064
63,2000,0.5,0,8,25.17244516242503
64,2000,0.5,0,8,24.909336618802985
65,2000,0.5,0,8,25.05948946429934
66,2000,0.5,0,8,24.80646653214741
67,2000,0.5,0,8,25.0496504527214
68,2000,0.5,0,8,25.931612227937087
69,2000,0.5,0,8,25.43049377028419
70,2000,0.5,0,8,25.587653240345336
71,2000,0.5,0,8,25.80718063145568
72,2000,0.5,0,8,24.354253188181108
73,2000,0.5,0,8,24.768382374832054
74,2000,0.5,0,8,25.00037715274147
75,2000,0.5,0,8,25.33793004430301
76,2000,0.5,0,8,24.92917904329377
77,2000,0.5,0,8,24.662471727117573
78,2000,0.5,0,8,24.349735188110532
79,2000,0.5,0,8,24.788510922673012
80,2000,0.5,0,8,24.720385239353877
81,2000,0.5,0,8,24.687632526490074
82,2000,0.5,0,8,24.029718746229488
83,2000,0.5,0,8,24.145737065033817
84,2000,0.5,0,8,23.191454987988447
85,2000,0.5,0,8,23.490134878879857
86,2000,0.5,0,8,23.262084080892574
87,2000,0.5,0,8,22.69701719077355
88,2000,0.5,0,8,23.167547458087586
89,2000,0.5,0,8,21.56250072787516
90,2000,0.5,0,8,22.188586499467874
91,2000,0.5,0,8,21.32214849244485
92,2000,0.5,0,8,20.43461506060534
93,2000,0.5,0,8,20.1810094712652
94,2000,0.5,0,8,19.266738662804478
95,2000,0.5,0,8,19.177856866065053
96,2000,0.5,0,8,17.00045203849671
97,2000,0.5,0,8,16.292190926039485
98,2000,0.5,0,8,15.684080683737411
99,2000,0.5,0,8,14.688282136882545
100,2000,0.5,0,8,14.278224947869392
101,2000,0.5,0,8,12.41192814520134
102,2000,0.5,0,8,11.160227595095193
103,2000,0.5,0,8,10.407825894649664
104,2000,0.5,0,8,9.623249129755061
105,2000,0.5,0,8,9.009693400426608
106,2000,0.5,0,8,7.6320334908218195
107,2000,0.5,0,8,6.632705909116861
108,2000,0.5,0,8,6.128736752243339
109,2000,0.5,0,8,5.6516500000000045
110,2000,0.5,1,7,5.151108402385819
111,2000,0.5,8,0,3.858854422834674
112,2000,0.5,0,8,3.0191000000000003
113,2000,0.5,1,7,2.7328343750000013
114,2000,0.5,4,4,2.484629254132342
115,2000,0.5,3,5,2.0351406249999986
116,2000,0.5,8,0,1.6154740797727996
117,2000,0.5,1,7,1.1893781250000006
118,2000,0.5,6,2,1.0445825255264671
119,2000,0.5,2,6,0.9884437499999996
120,2000,0.5,8,0,0.5348054282591035
121,2000,0.5,3,5,0.5344796875000002
122,2000,0.5,5,3,0.4426312499999999
123,2000,0.5,8,0,0.23249532127261405
124,2000,0.5,6,2,0.25575
125,2000,0.5,8,0,0.11830635118306355
126,2000,0.5,8,0,0.06221250000000001
127,2000,0.5,8,0,0.10080625000000007
128,2000,0.5,3,5,0.04000000000000003
129,2000,0.5,0,8,0.02358281249999999
130,2000,0.5,6,2,0.06499999999999999
0,2000,0.75,3,5,7.045631157550168
1,2000,0.75,3,5,8.703314898894613
2,2000,0.75,2,6,8.870177483229986
