WE1,WF1,WE2,WF2,impressions,demand_factor,direction_400,direction_800
9,5,8,6,2000,1.5,f,f
8,6,7,7,2000,1.5,f,f
7,7,6,8,2000,1.5,f,f
6,8,5,9,2000,1.5,f,f
5,9,4,10,2000,1.5,f,f
4,10,3,11,2000,1.5,b,b
3,11,2,12,2000,1.5,b,b
2,12,1,13,2000,1.5,b,b
1,13,0,14,2000,1.5,b,b
14,0,13,1,2000,1.75,f,f
13,1,12,2,2000,1.75,f,f
12,2,11,3,2000,1.75,f,f
11,3,10,4,2000,1.75,f,f
10,4,9,5,2000,1.75,f,f
9,5,8,6,2000,1.75,f,f
8,6,7,7,2000,1.75,f,f
7,7,6,8,2000,1.75,f,f
6,8,5,9,2000,1.75,f,f
5,9,4,10,2000,1.75,f,f
4,10,3,11,2000,1.75,b,f
3,11,2,12,2000,1.75,b,b
2,12,1,13,2000,1.75,b,b
1,13,0,14,2000,1.75,b,b
14,0,13,1,2000,2.0,f,f
13,1,12,2,2000,2.0,f,f
12,2,11,3,2000,2.0,f,f
11,3,10,4,2000,2.0,f,f
10,4,9,5,2000,2.0,f,f
9,5,8,6,2000,2.0,f,f
8,6,7,7,2000,2.0,f,f
7,7,6,8,2000,2.0,f,f
6,8,5,9,2000,2.0,f,f
5,9,4,10,2000,2.0,f,f
4,10,3,11,2000,2.0,f,f
3,11,2,12,2000,2.0,b,f
2,12,1,13,2000,2.0,b,b
1,13,0,14,2000,2.0,b,b
14,0,13,1,2000,2.25,f,f
13,1,12,2,2000,2.25,f,f
12,2,11,3,2000,2.25,f,f
11,3,10,4,2000,2.25,f,f
10,4,9,5,2000,2.25,f,f
9,5,8,6,2000,2.25,f,f
8,6,7,7,2000,2.25,f,f
7,7,6,8,2000,2.25,f,f
6,8,5,9,2000,2.25,f,f
5,9,4,10,2000,2.25,f,f
4,10,3,11,2000,2.25,b,b
3,11,2,12,2000,2.25,b,f
2,12,1,13,2000,2.25,b,b
1,13,0,14,2000,2.25,b,b
14,0,13,1,2000,2.5,f,f
13,1,12,2,2000,2.5,f,f
12,2,11,3,2000,2.5,f,f
11,3,10,4,2000,2.5,f,f
10,4,9,5,2000,2.5,f,f
9,5,8,6,2000,2.5,f,f
8,6,7,7,2000,2.5,f,f
7,7,6,8,2000,2.5,f,f
6,8,5,9,2000,2.5,f,f
5,9,4,10,2000,2.5,f,f
4,10,3,11,2000,2.5,f,f
3,11,2,12,2000,2.5,f,f
2,12,1,13,2000,2.5,b,b
1,13,0,14,2000,2.5,b,b
14,0,13,1,2000,2.75,f,f
13,1,12,2,2000,2.75,f,f
12,2,11,3,2000,2.75,f,f
11,3,10,4,2000,2.75,f,f
10,4,9,5,2000,2.75,f,f
9,5,8,6,2000,2.75,f,f
8,6,7,7,2000,2.75,f,f
7,7,6,8,2000,2.75,f,f
6,8,5,9,2000,2.75,f,f
5,9,4,10,2000,2.75,f,f
4,10,3,11,2000,2.75,f,f
3,11,2,12,2000,2.75,f,f
2,12,1,13,2000,2.75,f,f
1,13,0,14,2000,2.75,b,b
14,0,13,1,2000,3.0,f,f
13,1,12,2,2000,3.0,f,f
12,2,11,3,2000,3.0,f,f
11,3,10,4,2000,3.0,f,f
10,4,9,5,2000,3.0,f,f
9,5,8,6,2000,3.0,f,f
8,6,7,7,2000,3.0,f,f
7,7,6,8,2000,3.0,f,f
6,8,5,9,2000,3.0,f,f
5,9,4,10,2000,3.0,f,f
4,10,3,11,2000,3.0,f,f
3,11,2,12,2000,3.0,f,f
2,12,1,13,2000,3.0,f,f
1,13,0,14,2000,3.0,f,f
